date,volume
05/08/2019,65
06/08/2019,48
07/08/2019,0
08/08/2019,80
09/08/2019,48
10/08/2019,95
11/08/2019,163
12/08/2019,0
13/08/2019,60
14/08/2019,78
15/08/2019,132
16/08/2019,114
17/08/2019,0
18/08/2019,166
19/08/2019,129
20/08/2019,165
21/08/2019,0
22/08/2019,0
23/08/2019,95
24/08/2019,165
25/08/2019,170
26/08/2019,0
27/08/2019,0
28/08/2019,0
29/08/2019,146
30/08/2019,179
31/08/2019,242
01/09/2019,124
02/09/2019,0
03/09/2019,150
04/09/2019,197
05/09/2019,143
06/09/2019,150
07/09/2019,0
08/09/2019,148
09/09/2019,130
10/09/2019,150
11/09/2019,0
12/09/2019,171
13/09/2019,112
14/09/2019,180
15/09/2019,154
16/09/2019,163
17/09/2019,0
18/09/2019,275
19/09/2019,117
20/09/2019,228
21/09/2019,0
22/09/2019,204
23/09/2019,119
24/09/2019,264
25/09/2019,0
26/09/2019,223
27/09/2019,0
28/09/2019,116
29/09/2019,145
30/09/2019,0
01/10/2019,283
02/10/2019,0
03/10/2019,44
04/10/2019,0
05/10/2019,0
06/10/2019,0
07/10/2019,10
08/10/2019,0
09/10/2019,133
10/10/2019,104
11/10/2019,219
12/10/2019,112
13/10/2019,93
14/10/2019,0
15/10/2019,114
16/10/2019,154
17/10/2019,149
18/10/2019,261
19/10/2019,153
20/10/2019,150
21/10/2019,0
22/10/2019,107
23/10/2019,189
24/10/2019,305
25/10/2019,0
26/10/2019,215
27/10/2019,288
28/10/2019,205
29/10/2019,295
30/10/2019,0
31/10/2019,172
01/11/2019,125
02/11/2019,174
03/11/2019,0
04/11/2019,0
05/11/2019,154
06/11/2019,141
07/11/2019,284
08/11/2019,157
09/11/2019,311
10/11/2019,140
11/11/2019,0
12/11/2019,210
13/11/2019,250
14/11/2019,271
15/11/2019,350
16/11/2019,198
17/11/2019,0
18/11/2019,271
19/11/2019,336
20/11/2019,108
21/11/2019,219
22/11/2019,188
23/11/2019,287
24/11/2019,0
25/11/2019,0
26/11/2019,222
27/11/2019,257
28/11/2019,8
29/11/2019,144
30/11/2019,179
01/12/2019,109
02/12/2019,0
03/12/2019,172
04/12/2019,340
05/12/2019,0
06/12/2019,329
07/12/2019,295
08/12/2019,0
09/12/2019,150
10/12/2019,217
11/12/2019,0
12/12/2019,277
13/12/2019,168
14/12/2019,0
15/12/2019,0
16/12/2019,0
17/12/2019,0
18/12/2019,0
19/12/2019,0
20/12/2019,0
21/12/2019,0
22/12/2019,0
23/12/2019,0
24/12/2019,0
25/12/2019,0
26/12/2019,0
27/12/2019,51
28/12/2019,60
29/12/2019,82
30/12/2019,69
31/12/2019,0
01/01/2020,0
02/01/2020,79
03/01/2020,84
04/01/2020,99
05/01/2020,87
06/01/2020,0
07/01/2020,103
08/01/2020,84
09/01/2020,111
10/01/2020,112
11/01/2020,126
12/01/2020,147
13/01/2020,0
14/01/2020,132
15/01/2020,121
16/01/2020,171
17/01/2020,0
18/01/2020,159
19/01/2020,0
20/01/2020,0
21/01/2020,158
22/01/2020,180
23/01/2020,78
24/01/2020,138
25/01/2020,220
26/01/2020,196
27/01/2020,0
28/01/2020,178
29/01/2020,168
30/01/2020,99
31/01/2020,96
01/02/2020,192
02/02/2020,123
03/02/2020,0
04/02/2020,151
05/02/2020,234
06/02/2020,0
07/02/2020,246
08/02/2020,208
09/02/2020,204
10/02/2020,0
11/02/2020,208
12/02/2020,194
13/02/2020,0
14/02/2020,120
15/02/2020,327
16/02/2020,248
17/02/2020,300
18/02/2020,0
19/02/2020,286
20/02/2020,203
21/02/2020,188
22/02/2020,152
23/02/2020,0
24/02/2020,264
25/02/2020,197
26/02/2020,238
27/02/2020,0
28/02/2020,0
29/02/2020,245
01/03/2020,202
02/03/2020,0
03/03/2020,185
04/03/2020,183
05/03/2020,0
06/03/2020,270
07/03/2020,220
08/03/2020,246
09/03/2020,0
10/03/2020,122
11/03/2020,202
12/03/2020,0
13/03/2020,270
14/03/2020,240
15/03/2020,208
16/03/2020,182
17/03/2020,0
18/03/2020,170
19/03/2020,80
20/03/2020,183
21/03/2020,210
22/03/2020,0
23/03/2020,0
24/03/2020,0
25/03/2020,0
26/03/2020,0
27/03/2020,0
28/03/2020,42
29/03/2020,40
30/03/2020,0
31/03/2020,45
01/04/2020,39
02/04/2020,110
03/04/2020,0
04/04/2020,0
05/04/2020,120
06/04/2020,0
07/04/2020,104
08/04/2020,0
09/04/2020,80
10/04/2020,0
11/04/2020,0
12/04/2020,74
13/04/2020,24
14/04/2020,96
15/04/2020,0
16/04/2020,0
17/04/2020,42
18/04/2020,84
19/04/2020,0
20/04/2020,0
21/04/2020,70
22/04/2020,0
23/04/2020,0
24/04/2020,88
25/04/2020,60
26/04/2020,57
27/04/2020,0
28/04/2020,101
29/04/2020,0
30/04/2020,80
01/05/2020,38
02/05/2020,60
03/05/2020,76
04/05/2020,0
05/05/2020,93
06/05/2020,45
07/05/2020,0
08/05/2020,100
09/05/2020,63
10/05/2020,42
11/05/2020,0
12/05/2020,36
13/05/2020,103
14/05/2020,42
15/05/2020,80
16/05/2020,0
17/05/2020,30
18/05/2020,0
